iter	Passed	Remaining
0	137	137206
1	138	68892
2	139	46272
3	140	34990
4	141	28072
5	142	23560
6	142	20285
7	144	17903
8	145	16062
9	147	14579
10	149	13448
11	151	12476
12	152	11612
13	154	10861
14	154	10177
15	155	9574
16	156	9042
17	157	8570
18	157	8150
19	158	7763
20	159	7412
21	159	7093
22	160	6801
23	160	6533
24	161	6286
25	161	6058
26	162	5855
27	163	5668
28	163	5488
29	164	5324
30	165	5168
31	165	5018
32	166	4876
33	166	4743
34	167	4616
35	167	4496
36	168	4383
37	168	4275
38	169	4174
39	169	4076
40	170	3985
41	170	3899
42	171	3816
43	171	3736
44	172	3659
45	172	3586
46	173	3516
47	173	3449
48	174	3385
49	174	3322
50	175	3263
51	175	3206
52	176	3158
53	177	3108
54	178	3060
55	178	3012
56	179	2965
57	179	2919
58	180	2874
59	180	2830
60	181	2789
61	181	2748
62	182	2708
63	182	2670
64	183	2633
65	183	2597
66	184	2562
67	184	2528
68	184	2495
69	185	2463
70	185	2431
71	186	2401
72	186	2372
73	187	2343
74	187	2316
75	188	2289
76	188	2262
77	189	2236
78	189	2211
79	190	2186
80	190	2163
81	191	2140
82	191	2117
83	192	2099
84	193	2079
85	193	2059
86	194	2041
87	195	2022
88	195	2003
89	196	1983
90	196	1964
91	197	1945
92	197	1927
93	198	1909
94	198	1891
95	199	1874
96	199	1857
97	199	1840
98	200	1824
99	200	1808
100	201	1792
101	201	1777
102	202	1762
103	202	1747
104	203	1733
105	203	1718
106	204	1704
107	204	1691
108	205	1677
109	205	1664
110	206	1652
111	207	1641
112	207	1630
113	208	1618
114	208	1606
115	209	1595
116	209	1583
117	210	1571
118	210	1561
119	211	1550
120	211	1539
121	212	1528
122	212	1517
123	213	1507
124	213	1496
125	214	1486
126	214	1475
127	215	1465
128	215	1455
129	216	1446
130	216	1436
131	217	1427
132	217	1418
133	217	1408
134	218	1399
135	218	1390
136	219	1382
137	219	1373
138	220	1365
139	220	1356
140	221	1348
141	222	1341
142	222	1334
143	223	1327
144	223	1319
145	224	1311
146	224	1304
147	225	1296
148	225	1289
149	226	1282
150	226	1274
151	227	1267
152	227	1260
153	228	1253
154	228	1246
155	229	1239
156	229	1233
157	230	1226
158	230	1219
159	231	1213
160	231	1206
161	231	1199
162	232	1193
163	232	1187
164	233	1180
165	233	1174
166	234	1168
167	234	1162
168	235	1157
169	235	1151
170	236	1146
171	237	1142
172	237	1137
173	238	1131
174	238	1126
175	239	1120
176	239	1114
177	240	1109
178	240	1104
179	241	1098
180	241	1093
181	242	1088
182	242	1082
183	243	1077
184	243	1072
185	244	1067
186	244	1062
187	244	1057
188	245	1053
189	245	1048
190	246	1043
191	246	1039
192	247	1034
193	247	1029
194	248	1025
195	248	1020
196	249	1016
197	249	1011
198	250	1007
199	250	1003
200	251	998
201	252	995
202	252	992
203	253	987
204	253	983
205	254	979
206	254	975
207	255	971
208	255	967
209	256	963
210	256	959
211	257	955
212	257	951
213	257	947
214	258	943
215	258	939
216	259	936
217	259	932
218	260	928
219	260	924
220	261	921
221	261	917
222	262	913
223	262	910
224	263	906
225	263	903
226	264	899
227	264	896
228	265	893
229	266	890
230	266	888
231	267	885
232	268	882
233	268	879
234	269	875
235	269	872
236	269	869
237	270	865
238	270	862
239	271	859
240	271	856
241	272	852
242	272	849
243	273	846
244	273	843
245	274	840
246	274	837
247	275	834
248	275	831
249	276	828
250	276	825
251	277	822
252	277	819
253	278	817
254	278	814
255	279	811
256	279	808
257	280	805
258	281	803
259	281	802
260	282	800
261	283	797
262	284	796
263	284	794
264	285	791
265	286	789
266	286	787
267	287	784
268	287	782
269	288	779
270	288	777
271	289	774
272	289	772
273	290	769
274	290	766
275	291	764
276	291	761
277	292	759
278	292	756
279	293	754
280	293	751
281	294	749
282	294	746
283	295	744
284	295	742
285	296	740
286	297	737
287	297	735
288	298	733
289	298	731
290	299	728
291	299	726
292	300	724
293	300	721
294	301	719
295	301	717
296	302	714
297	302	712
298	303	710
299	303	708
300	303	705
301	304	703
302	304	701
303	305	699
304	305	697
305	306	694
306	306	692
307	307	690
308	307	688
309	308	686
310	308	684
311	309	681
312	309	679
313	310	677
314	310	676
315	312	675
316	312	673
317	313	672
318	314	670
319	314	668
320	315	667
321	315	665
322	316	663
323	316	661
324	317	659
325	317	657
326	318	655
327	318	653
328	319	651
329	319	649
330	320	647
331	320	645
332	321	643
333	321	641
334	322	639
335	322	637
336	323	635
337	323	633
338	324	631
339	324	630
340	325	628
341	325	626
342	326	625
343	327	624
344	327	622
345	328	620
346	328	618
347	329	616
348	329	614
349	330	613
350	330	611
351	331	609
352	331	607
353	332	605
354	332	604
355	332	602
356	333	600
357	333	598
358	334	597
359	334	595
360	335	593
361	335	591
362	336	590
363	336	588
364	337	586
365	337	585
366	338	583
367	338	581
368	339	580
369	339	578
370	340	577
371	341	576
372	342	574
373	342	573
374	343	571
375	343	570
376	343	568
377	344	566
378	344	565
379	345	563
380	345	561
381	346	560
382	346	558
383	347	557
384	347	555
385	348	553
386	348	552
387	349	550
388	349	549
389	350	547
390	350	545
391	351	544
392	351	542
393	352	541
394	352	539
395	352	538
396	353	536
397	353	535
398	354	534
399	355	532
400	355	531
401	356	530
402	357	528
403	357	527
404	357	525
405	358	524
406	358	522
407	359	521
408	359	519
409	360	518
410	360	516
411	361	515
412	361	514
413	362	512
414	362	511
415	363	509
416	363	508
417	363	506
418	364	505
419	364	503
420	365	502
421	365	501
422	366	499
423	366	498
424	367	496
425	367	495
426	368	494
427	368	492
428	369	491
429	369	490
430	370	488
431	371	487
432	371	486
433	372	485
434	373	484
435	373	483
436	374	482
437	374	480
438	375	479
439	375	478
440	376	477
441	376	475
442	377	474
443	377	473
444	378	471
445	378	470
446	379	469
447	379	467
448	380	466
449	380	465
450	381	463
451	381	462
452	382	461
453	382	460
454	382	458
455	383	457
456	383	456
457	384	454
458	384	453
459	385	452
460	386	451
461	386	450
462	387	449
463	388	448
464	388	447
465	389	445
466	389	444
467	390	443
468	390	442
469	391	440
470	391	439
471	391	438
472	392	437
473	392	436
474	393	434
475	393	433
476	394	432
477	394	431
478	395	429
479	395	428
480	396	427
481	396	426
482	397	425
483	397	424
484	398	422
485	398	421
486	399	420
487	399	419
488	400	418
489	400	417
490	401	416
491	402	415
492	402	414
493	403	412
494	403	411
495	404	410
496	404	409
497	405	408
498	405	407
499	406	406
500	406	405
501	407	403
502	407	402
503	408	401
504	408	400
505	409	399
506	409	398
507	410	397
508	410	396
509	411	394
510	411	393
511	411	392
512	412	391
513	412	390
514	413	389
515	413	388
516	414	387
517	415	386
518	415	385
519	416	384
520	417	383
521	417	382
522	418	381
523	418	380
524	419	379
525	419	378
526	420	377
527	420	376
528	421	375
529	421	374
530	422	372
531	422	371
532	423	370
533	423	369
534	424	368
535	424	367
536	425	366
537	425	365
538	426	364
539	426	363
540	426	362
541	427	361
542	428	360
543	428	359
544	429	358
545	429	357
546	430	356
547	430	355
548	431	354
549	432	353
550	432	352
551	433	351
552	434	350
553	434	349
554	435	348
555	435	347
556	436	346
557	436	345
558	437	344
559	437	343
560	437	342
561	438	341
562	438	340
563	439	339
564	439	338
565	440	337
566	440	336
567	441	335
568	441	334
569	442	333
570	442	332
571	443	331
572	443	330
573	444	329
574	444	328
575	445	327
576	445	326
577	446	325
578	447	325
579	447	324
580	448	323
581	448	322
582	449	321
583	449	320
584	450	319
585	450	318
586	450	317
587	451	316
588	451	315
589	452	314
590	452	313
591	453	312
592	453	311
593	454	310
594	454	309
595	455	308
596	455	307
597	456	306
598	456	305
599	457	304
600	457	303
601	458	302
602	458	301
603	458	300
604	459	300
605	459	299
606	460	298
607	461	297
608	461	296
609	462	295
610	463	294
611	463	293
612	464	293
613	464	292
614	465	291
615	465	290
616	466	289
617	466	288
618	467	287
619	467	286
620	468	285
621	468	284
622	469	283
623	469	282
624	469	281
625	470	281
626	470	280
627	471	279
628	471	278
629	472	277
630	472	276
631	473	275
632	473	274
633	474	273
634	474	272
635	475	272
636	475	271
637	476	270
638	477	269
639	477	268
640	478	268
641	479	267
642	479	266
643	480	265
644	480	264
645	481	263
646	481	262
647	482	262
648	482	261
649	483	260
650	483	259
651	484	258
652	484	257
653	485	256
654	485	255
655	486	254
656	486	254
657	487	253
658	487	252
659	488	251
660	488	250
661	489	249
662	489	248
663	490	247
664	490	247
665	491	246
666	491	245
667	492	244
668	493	243
669	493	243
670	494	242
671	494	241
672	495	240
673	495	239
674	496	238
675	496	237
676	497	237
677	497	236
678	497	235
679	498	234
680	498	233
681	499	232
682	499	232
683	500	231
684	500	230
685	501	229
686	501	228
687	502	227
688	502	226
689	503	226
690	503	225
691	504	224
692	504	223
693	505	222
694	505	221
695	506	221
696	507	220
697	507	219
698	508	218
699	508	217
700	509	217
701	509	216
702	510	215
703	510	214
704	511	213
705	511	213
706	511	212
707	512	211
708	512	210
709	513	209
710	513	208
